Date ,StartTime,PilotID,Profile,Condition,CopilotID,Instructor,Airport,FlyingSide,FlyingOrder,Fitbit,Comments,ManeuverType,Maneuver,SubManeuver,Difficulty,Grade,PassS,PassM,ManeuverNum,AltitudeDev,BankAngleDev,PitchAttitudeDev,CO2,Baevsky,HF,LF,HFLF,RMSSD,SDNN
3/25/2017,10:30:00,10,1,M,11,Rueda,Boston,R,1,10,NA,SteepTurns,Steep Turns,Steep Turns,C,2,0,1,2016,NA,NA,NA,1441.560748,114.100828,360.3581493,934.5539673,3.185132821,19.38824178,33.82813134
3/25/2017,10:30:00,10,1,M,11,Rueda,Boston,R,1,10,Very good ,TCAS,TCAS,TCAS,C,3,0,1,217,NA,NA,NA,1468.971429,163.7888558,123.7238622,950.3773444,7.973456912,14.78164053,33.52729265
3/25/2017,10:30:00,10,1,M,11,Rueda,Boston,R,1,10,NA,UpsetRecovery,Upset Recovery,Upset Recovery,C,2,0,1,225,NA,NA,NA,1464.57971,198.6880402,180.6602852,666.2542594,3.619416918,15.41432087,29.0319369
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,NA,Approach,1 Engine Inoperative,Approach,C,2,0,1,39,NA,2.898582134,NA,623.0473373,175.9787402,184.7383275,674.9410324,4.023765836,16.96428532,28.83149183
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,NA,Approach,1 Engine Inoperative,Landing,C,2,0,1,39,NA,0.795475782,NA,629.097561,221.0699223,52.63725842,247.3288092,4.728243323,10.99556273,19.01144047
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,NA,Approach,1 Engine Inoperative,Waypoint,C,2,0,1,39,28.7666114,NA,NA,621.8695652,127.6684263,252.7448373,1481.790517,6.579923177,24.89925001,42.64161871
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,NA,Abnormal/Emergency Procedure,Abnormal/Emergency Procedure,Abnormal/Emergency Procedure,C,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,NA,Area Arrival,Area Arrival,Area Arrival,C,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,NA,Stall,Departure Stall,Departure Stall,C,2,0,1,29,NA,NA,NA,694.6147541,117.608377,187.1269002,1080.191339,5.6827449,18.90682029,34.0907689
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,"Standard, slow reaction",Takeoff,Engine Fire,Area Departure,C,2,0,1,35,NA,NA,0.548403735,650.2545455,246.2409442,35.37928183,220.3724805,8.852357083,8.970716469,18.19329218
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,NA,Takeoff,Engine Fire,Takeoff,C,2,0,1,35,NA,0.915508944,NA,654.9111111,131.5658223,73.40541913,443.4621309,5.818642969,12.69599804,22.75693842
3/29/2017,23:30:00,10,2,L,11,Rueda,NYC,R,1,10,"Went below minimum 640' (600'), Rocked the wings during approach",Approach,Glide Slope Inoperative,Approach,B,1,0,0,33,NA,7.716033038,NA,658.362069,211.0294595,155.3878227,747.8297914,5.711750612,16.98794357,30.14252896
